University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Adelphi University;https://www.adelphi.edu;Garden City;NY;New York;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$49.110;$18.565;$71.675;24-26;Merit;115;41%;$25.053;$46.265;$2.9m;No;Full Tuition;Presidential Award and YouAreWelcomeHere Scholarship;https://www.adelphi.edu/aid/scholarships/institutional/undergraduate/;"Presidential Award: Merit-based scholarship; students are automatically considered with their admission application. YouAreWelcomeHere Scholarship: Awarded to two first-year international students. Eligible students are contacted directly to complete a separate application.";$0;$22.565;Automatic consideration;78%;48%;10%;-;;-;;71%;;Early Action Only;;;;;;;;;Optional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Agnes Scott College;https://www.agnesscott.edu;Decatur;GA;Georgia;Private;Southeast (Deep South);;Suburb: Large;1K - 9K;Women's;No;Arts and Sciences;Very High;On-campus;1-Historically;$35.000;$50.604;$13.605;$68.209;24-25;Both;19;100%;$34.874;$30.651;$0.7m;No;Full ride;Marvin B. Perry Presidential Scholarship;https://www.agnesscott.edu/admission/undergraduate-admission/scholarships-financial-aid/index.html;The college's most competitive, full-tuition Merit Scholarship. Top first-year applicants are invited to compete. Focuses on academics, leadership, character, and personal achievement. Renewable for up to four years.;$0;$4.000;By invitation only;68%;;19%;9%;;78;7;68%;;Both;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Alabama A&M University;https://www.aamu.edu;Normal;AL;Alabama;Public;Southeast (Deep South);;City: Midsize;5K - 10K;Coeducational;Yes;Professional;High;On-campus;0-None;;$26.626;$7.992;$38.618;24-25;Merit;No data;;No data;;;No;$8.610;Normalite Opportunity Scholarship;https://www.aamu.edu/admissions-aid/financial-aid/scholarships/index.html;For out-of-state, first-time freshmen. Must be unconditionally admitted. Award based on a Composite Predictive Index (CPI) score calculated during admission. Renewable with a 2.80 GPA and completion of 30 credit hours per year.;$18.016;$30.008;Automatically Awarded;66%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Albion College;https://www.albion.edu;Albion;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$56.950;$13.500;$74.450;24-25;Merit;51;98%;$46.808;$25.508;$2.4m;No;$35.000;Distinguished Albion Scholarship;https://www.albion.edu/offices/financial-aid/aid-scholarships/scholarships/;Link directs to departmental awards. The main Merit Scholarships, such as the Distinguished Albion Scholarship, are awarded automatically upon admission based on the application file. No separate application is needed.;$21.950;$39.450;Automatic consideration;83%;;8%;;;;17;78%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Alfred University;https://www.alfred.edu;Alfred;NY;New York;Private;Northeast (Mid-Atlantic);;Rural: Distant;1K - 9K;Coeducational;No;Professional;High;On-campus;1-Historically;$35.000;$41.500;$15.380;$60.880;24-25;Merit;129;100%;$25.387;$32.383;$3.3m;No;;;;;;TBD;Unclear;48,3%;14,3%;12%;10%;2346;336;35;43%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Allegheny College;https://www.allegheny.edu;Meadville;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$56.550;$14.940;$75.490;24-25;Merit;61;97%;$43.598;$29.158;$2.6m;No;$40.000;Trustee Scholarship;https://sites.allegheny.edu/admissions/scholarships/;Awarded to students who balance academic excellence with leadership, co-curricular involvement, and community engagement. Consideration is automatic with the admission application. No separate scholarship application required.;$16.550;$35.490;Automatic consideration;63,8%;15,8%;9%;5%;1009;159;8;51%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Alma College;https://www.alma.edu;Alma;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Balanced;Exclusively;On-campus;1-Historically;$30.000;$47.430;$13.128;$64.558;23-24;Both;31;97%;$35.566;$28.992;$1.1m;No;Full Tuition;Distinguished Presidential Scholarship;https://www.alma.edu/financial-aid/scholarships/;"The highest merit-based award. No separate application required; all applicants for admission are automatically considered based on academic performance and the rigor of their high school curriculum.";$0;$17.128;By invitation only;66%;18%;13%;-;;-;;66%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
American University;https://www.american.edu;Washington;DC;Dist. of Columbia;Private;Northeast (Mid-Atlantic);Washington, DC;City: Large;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$40.000;$58.772;$16.930;$79.702;24-25;Merit;51;07%;$40.714;$36.841;$2.1m;No;Full ride;Emerging Global Leader;https://www.american.edu/admissions/international/au-egls-apply.cfm;For high-achieving international students dedicated to positive civic and social change. Requires a separate application, bank letter, and English proficiency scores. Preference for those from diverse, underrepresented backgrounds.;$0;$4.000;Requires application;47,4%;38,3%;22%;17%;1096;420;71;45,7%;;Both;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Amherst College;https://www.amherst.edu;Amherst;MA;Massachusetts;Private;Northeast (New England);;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$70.480;$18.390;$92.870;24-25;Need;199;84%;$81.202;$7.638;$16.2m;Yes (Need-blind);unknown;;;;;;Automatically Awarded;9,8%;2,7%;39%;45%;4955;134;60;8,8%;;Early Decision only;;27,1%;2027;3.1x;38%;;;;Optional;38%;17%;1520;670;780;690;770;31;33;35;28;35;32;35;32;36;30;35;CDS24;58%;71%;76%;24%;0%;11/8/2024;;;;1/6/2025;;11/15/2024;11/15/2024;Not specified;Mid-December;;;;1/6/2025;Not specified;1/15/2025;3/20/2025;23-24;;;;;;8;88,4;2;;;87;;;;;;51;;;;;87;;;;Legal;Viability;0,6;0;17;early_admission;generous_aid;affordable;;;international_playlist
Andrews University;https://www.andrews.edu;Berrien Springs;MI;Michigan;Private;Midwest (Great Lakes);;Town: Fringe;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;5-Very;$30.000;$35.056;$10.726;$49.782;24-25;Both;229;76%;$18.834;$28.926;;;;;;;;;Unclear;78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Appalachian State University;https://www.appstate.edu;Boone;NC;North Carolina;Public;Southeast;;Town: Distant;20K+;Coeducational;No;Professional;Very High;On-campus;0-None;;$25.768;$12.868;$42.636;24-25;Merit;;;;;;No;Full ride;Chancellor's Scholarship;https://honors.appstate.edu/scholarships/chancellors-scholarship;The Chancellor's Scholarship is the oldest and most distinguished full scholarship at Appalachian State University. It is also the most academically-competitive merit-based scholarship, designed for students with ambitious academic goals.;$0;$0;Automatic consideration;88,6%;84,8%;20%;2%;454;385;6;89%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Aquinas College;https://www.aquinas.edu;Grand Rapids;MI;Michigan;Private;Midwest (Great Lakes);;City: Midsize;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;4-Moderately;$25.000;$40.218;$11.680;$55.898;24-25;Both;57;98%;$30.307;$23.207;$1.7m;No;;;;;;TBD;Unclear;71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Arcadia University;https://www.arcadia.edu;Glenside;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;;$49.610;$14.380;$67.990;24-25;Merit;No data;;No data;;;No;$28.000;Distinguished Scholarship;https://www.arcadia.edu/arcadia-university-admissions/financial-aid/aid-for-undergraduates/;The highest academic merit award. Students are automatically considered for this scholarship when they apply for admission. No separate application is required. Renewable for four years.;$21.610;$39.990;Automatic consideration;79%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Arizona State University-Tempe;https://www.asu.edu;Tempe;AZ;Arizona;Public;Southwest;Phoenix, AZ;City: Midsize;20K+;Coeducational;No;Balanced;High;On-campus;0-None;$45.000;$33.139;$16.712;$53.851;24-25;Merit;2.520;51%;$12.182;$40.102;$30.7m;No;$17.500;New American University Scholarship;https://admission.asu.edu/cost-aid/international;"Awarded to international students based on a holistic review of their academic record (GPA) and English proficiency test scores. No separate application is required; students are automatically considered upon admission.";$15.639;$36.351;Automatic consideration;90,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Arkansas State University;https://www.astate.edu;Jonesboro;AR;Arkansas;Public;South (Central);;City: Small;10K - 20K;Coeducational;No;Professional;High;Off-campus;0-None;$25.000;$13.826;$10.100;$27.926;23-24;Merit;334;54%;$7.063;$20.863;$2.4m;No;;;;;;TBD;Unclear;64,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Auburn University;https://www.auburn.edu;Auburn;AL;Alabama;Public;Southeast (Deep South);;City: Small;20K+;Coeducational;No;Professional;High;On-campus;1-Historically;;$34.922;$16.626;$55.548;24-25;Merit;;;;;;No;$17.000;Presidential Scholarship;https://www.auburn.edu/scholarship/undergraduate/competitive-merit.php;For non-resident students. Consideration is automatic for students who apply for admission by the deadline. Selection is based on high school GPA and standardized test scores (ACT/SAT).;$17.922;$38.548;Automatic consideration;46,0%;;24%;;;;;50%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Auburn University at Montgomery;https://www.aum.edu;Montgomery;AL;Alabama;Public;Southeast (Deep South);;City: Midsize;5K - 10K;Coeducational;No;Professional;High;On-campus;0-None;$25.000;$25.960;$7.368;$37.328;24-25;Merit;163;84%;$8.657;$22.803;$1.4m;No;$2.000;AUM Scholarship;https://www.aum.edu/scholarship/international-undergrad-aum-scholarship/;For international undergraduate students. Freshmen are considered based on high school GPA or language test scores. Transfer students are considered based on their college GPA. No separate application needed.;$23.960;$35.328;;92,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Augustana College;https://www.augustana.edu;Rock Island;IL;Illinois;Private;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;2-Slightly;$35.000;$51.598;$13.070;$68.668;24-25;Both;345;85%;$34.458;$31.542;$11.9m;No;$30.000;Presidential Scholarship;https://www.augustana.edu/admissions/scholarships;The highest Merit Scholarship awarded to first-year students at the time of admission. No separate application is necessary. Renewable with a cumulative GPA of 3.0.;$21.598;$38.668;Automatic consideration;67,6%;43,4%;14%;15%;2259;981;149;53%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Austin College;https://www.austincollege.edu;Sherman;TX;Texas;Private;South (Central);Dallas, TX;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$30.000;$48.655;$13.342;$65.997;24-25;Merit;13;100%;$34.242;$29.316;$0.4m;No;$32.000;Presidential Scholarship;https://www.austincollege.edu/admission/financial-aid/scholarships/;A top merit-based scholarship. Students are automatically considered with their application for admission. Selection is based on academic achievement, leadership, and service.;$16.655;$33.997;Automatic consideration;71,1%;33,9%;12%;4%;224;76;3;28,4%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Babson College;https://www.babson.edu;Babson Park;MA;Massachusetts;Private;Northeast (New England);Boston, MA;Suburb: Large;1K - 9K;Coeducational;No;Professional;High;On-campus;0-None;$35.000;$57.152;$21.550;$82.702;24-25;Both;91;12%;$47.628;$33.190;$4.3m;Yes (Need-aware);Full ride+stipend;Global Scholarship plus need-based supplement;https://www.babson.edu/undergraduate/admission/tuition-and-financial-aid/international-students/;A four-year, full-tuition scholarship for international students. Admission is need-aware. Requires the CSS PROFILE for consideration. Aims to admit highly qualified candidates from around the world.;$0;$0;Automatic consideration;20%;;40%;-;;-;-;15%;;Both;Yes;32,7%;2027;2.2x;49%;20,8%;2027;1.4x;Optional;30%;6%;1440;720;780;660;720;30;31;33;28;32;29;35;31;36;;;CDS24;91%;95%;96%;5%;;11/1/2024;11/1/2024;;;1/2/2025;;;11/15/2024;Not specified;Early Decision 1 by mid-De;1/2/2025;2/1/2025;Mid-February;;;2/1/2025;;23-24;;;;;;10;87,9;;;;;;;;36;;;;;;;;;;;Legal;Viability;0,9;7,2;8,6;early_admission;;;;;international_playlist
Baker University;https://www.bakeru.edu;Baldwin City;KS;Kansas;Private;Midwest (Great Plains);;Rural: Distant;1K - 9K;Coeducational;No;Professional;High;On-campus;2-Slightly;$25.000;$35.200;$11.250;$50.450;24-25;Merit;33;68%;$26.765;$21.755;$0.9m;No;;;;;;;Unclear;92%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Baldwin Wallace University;https://www.bw.edu;Berea;OH;Ohio;Private;Midwest (Great Lakes);;Suburb: Large;1K - 9K;Coeducational;No;Balanced;High;On-campus;1-Historically;$40.000;$39.832;$13.774;$57.606;24-25;Merit;6;75%;$19.019;$36.247;$0.1m;No;$15.000;Baldwin Scholarship;https://www.bw.edu/undergraduate-admission/first-year/tuition/;A merit-based scholarship for first-year undergraduate students. Students are automatically considered upon admission to the university. No separate application is required.;$24.832;$42.606;Automatic consideration;76,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Ball State University;https://www.bsu.edu;Muncie;IN;Indiana;Public;Midwest (Great Lakes);;City: Small;20K+;Coeducational;No;Professional;High;On-campus;0-None;$25.000;$29.630;$12.334;$45.964;24-25;Merit;104;100%;$21.205;$23.625;$2.2m;No;$16.000;Global Honors Scholarship;https://www.bsu.edu/admissions/financial-aid-and-scholarships/types/scholarships;This appears to be the former name. The current top merit award for international students is the Global Distinction Scholarship. Students are automatically considered upon admission. Renewable with a 2.5 GPA.;$13.630;$29.964;Automatic consideration;71,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Bard College;https://www.bard.edu;Annandale;NY;New York;Private;Northeast (Mid-Atlantic);New York City;Rural: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$30.000;$67.366;$19.510;$90.876;24-25;Need;211;63%;$58.322;$28.270;;Yes (Need-aware);;;;;;;;46%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Barnard College;https://www.barnard.edu;New York;NY;New York;Private;Northeast (Mid-Atlantic);New York City;City: Large;1K - 9K;Women's;No;Arts and Sciences;Exclusively;On-campus;0-None;$50.000;$69.888;$19.020;$92.908;24-25;Need;65;14%;$43.317;$47.511;$2.8m;Yes (Need-aware);;;;;;;;8%;;76%;-;;-;-;4,8%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Barton College;https://www.barton.edu;Wilson;NC;North Carolina;Private;Southeast;;Town: Fringe;1K - 9K;Coeducational;No;Professional;Very High;On-campus;2-Slightly;$25.000;$37.000;$12.024;$53.024;24-25;Both;50;100%;$28.838;$23.812;$1.4m;No;;;;;;TBD;Unclear;96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Bates College;https://www.bates.edu;Lewiston;ME;Maine;Private;Northeast (New England);;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$20.000;$66.590;$18.780;$89.370;24-25;Need;96;58%;$69.714;$15.668;$6.7m;Yes (Need-aware);;;;;;;Unclear;13,1%;3,6%;43%;40%;3966;141;57;10,2%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Baylor University;https://www.baylor.edu;Waco;TX;Texas;Private;South (Central);Dallas, TX;City: Midsize;20K+;Coeducational;No;Professional;High;On-campus;5-Very;$50.000;$58.100;$15.922;$78.022;24-25;Merit;297;67%;$24.763;$48.316;$7.4m;No;$20.000;Invitation to Excellence;https://admissions.web.baylor.edu/costs-aid/scholarships-aid/merit-based-scholarships;An invitation-only event for high-achieving students who apply by the priority deadline. Attendees receive a scholarship. Selection is based on a holistic review of the admission application.;$38.100;$58.022;By invitation only;51,0%;67,7%;16%;8%;2007;1358;114;51%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Belmont University;https://www.belmont.edu;Nashville;TN;Tennessee;Private;Southeast;;City: Large;5K - 10K;Coeducational;No;Professional;High;On-campus;4-Moderately;$35.000;$42.540;$15.010;$61.550;24-25;Merit;50;74%;$27.583;$32.027;$1.4m;No;;;;;;TBD;Unclear;96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Beloit College;https://www.beloit.edu;Beloit;WI;Wisconsin;Private;Midwest (Great Lakes);;City: Small;<1K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$60.886;$11.264;$76.150;24-25;Both;128;100%;$44.747;$28.547;$5.5m;No;$40.000;Presidential Scholarship;https://www.beloit.edu/admission/tuition-aid/merit-scholarships/;The highest Merit Scholarship offered. All applicants for admission are automatically considered. Based on exceptional scholastic achievement.;$20.886;$36.150;Automatic consideration;57,4%;22,9%;10%;6%;1717;393;23;46,5%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Benedict College;https://www.benedict.edu;Columbia;SC;South Carolina;Private;Southeast (Deep South);;City: Midsize;1K - 9K;Coeducational;Yes;Professional;Very High;On-campus;4-Moderately;;$18.348;$7.146;$29.494;24-25;Pending;No data;;No data;;;;;;;;;;Unclear;67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Bennington College;https://www.bennington.edu;Bennington;VT;Vermont;Private;Northeast (New England);;Town: Distant;<1K;Coeducational;No;Arts and Sciences;High;On-campus;0-None;$30.000;$66.262;$19.108;$89.370;24-25;Both;114;93%;$60.779;$26.505;$6.9m;No;unknown;;;;;TBD;Unclear;48,0%;10,9%;16%;15%;1261;137;20;41,7%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Bentley University;https://www.bentley.edu;Waltham;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Small;5K - 10K;Coeducational;No;Professional;High;On-campus;0-None;$60.000;$61.480;$20.140;$85.620;24-25;Merit;272;45%;$21.364;$59.986;$5.8m;No;50% tuition;President Scholarship and others;https://www.collegexpress.com/scholarships/bentley-presidents-scholarship/2001480/;The President Scholarship is the most prestigious merit award. Students are automatically considered based on their admission application. No separate application needed. Selection is based on academic excellence.;$30.740;$54.880;Unclear;48%;37%;22%;;1821;-;-;47%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Berea College;https://www.berea.edu;Berea;KY;Kentucky;Private;Southeast;;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$95.000;$49.326;$7.892;$61.218;23-24;Both;;100%;N/A;N/A;;Yes (Need-aware);Full ride;Automatic;https://www.berea.edu/costs-and-financial-aid-for-international-students;Berea College provides 100% funding to all enrolled international students for the first year of enrollment. This combines financial aid and scholarships. A separate application is not required.;$0;$4.000;Automatically Awarded;33%;5%;61%;-;;-;;33%;;Early Action Only;;;;;;;;;Required;6%;20%;1260;570;660;590;680;24;25;27;20;26;23;29;24;32;23;26;USN25;76%;90%;93%;18%;3%;;11/1/2024;;;12/31/2024;;;;Not specified;Mid-late December;;;;;;;;N/A;;;;;;150;70,3;40;;;;;;;;;;;;;;;;;;Banned;—;1,5;0;5;early_admission;generous_aid;;;;international_playlist
Berry College;https://www.berry.edu;Mount Berry;GA;Georgia;Private;Southeast (Deep South);;Suburb: Small;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;1-Historically;$20.000;$41.486;$15.094;$60.580;24-25;Merit;9;100%;$39.577;$19.069;$0.4m;No;not specified;Presidential Scholarship;https://www.berry.edu/scholarships-and-aid/berry-scholarships;A competitive, premier scholarship program. Requires a separate application after being admitted to Berry. Finalists are invited to an on-campus competition.;;;Automatic consideration;62%;;14%;-;;-;;49%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
