University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
University of Pennsylvania;https://www.upenn.edu;Philadelphia;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;City: Large;20K+;Coeducational;No;Balanced;Minority;On-campus;0-None;$25.000;$68.686;$19.174;$91.860;24-25;Need;366;28%;$67.366;$21.234;$24.7m;Yes (Need-aware);;;;;;;;5,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
University of Pittsburgh;https://www.pitt.edu;Pittsburgh;PA;Pennsylvania;Public;Northeast (Mid-Atlantic);;City: Large;20K+;Coeducational;No;Balanced;Majority;On-campus;1-Historically;;$41.430;$13.620;$59.050;24-25;Merit;;;;;;No;$10.000;International Freshmen Scholarship;https://financialaid.pitt.edu/types-of-aid/scholarships/;A merit-based scholarship for international freshmen. Students are automatically considered based on their admission application. No separate application is needed.;$31.430;$49.050;Automatic consideration;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Portland;;Portland;OR;Oregon;Private;West Coast;;City: Large;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;3-Somewhat;$50.000;$58.100;$17.260;$79.360;;Merit;9;09%;$27.556;$47.944;$0.2m;No;not specified;President Scholarship;https://www.up.edu/finaid/scholarships-and-grants/institutional-scholarships.html;The top Merit Scholarship awarded to first-year students. Consideration is automatic with the admission application. No separate application is required.;;;;95,0%;;;-;-;;;95%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of Portland;https://www.up.edu;Portland;OR;Oregon;Private;West Coast;;City: Large;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;3-Somewhat;$50.000;$58.100;$17.260;$79.360;24-25;Merit;9;09%;$27.556;$47.944;$0.2m;No;not specified;President Scholarship;https://www.up.edu/finaid/scholarships-and-grants/institutional-scholarships.html;The top Merit Scholarship awarded to first-year students. Consideration is automatic with the admission application. No separate application is required.;;;;95,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Puget Sound;;Tacoma;WA;Washington;Private;West Coast;Seattle, WA;City: Midsize;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$55.000;$62.898;$15.670;$82.568;;Merit;9;100%;$27.556;$51.384;$0.2m;No;Full ride;Lillis Foundation Scholarship;https://www.pugetsound.edu/admission/cost-aid/types-aid/scholarships-grants;A premier scholarship focused on academics, leadership, and service. Requires a separate application in addition to the admission application.;$0;$4.000;By invitation only;76,0%;63,8%;11%;1%;152;97;1;67,3%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of Puget Sound;https://www.pugetsound.edu;Tacoma;WA;Washington;Private;West Coast;Seattle, WA;City: Midsize;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$55.000;$62.898;$15.670;$82.568;24-25;Merit;9;100%;$27.556;$51.384;$0.2m;No;Full ride;Lillis Foundation Scholarship;https://www.pugetsound.edu/admission/cost-aid/types-aid/scholarships-grants;A premier scholarship focused on academics, leadership, and service. Requires a separate application in addition to the admission application.;$0;$4.000;By invitation only;76,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Redlands;;Redlands;CA;California;Private;West Coast;Los Angeles, CA;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;1-Historically;;$60.578;$18.208;$82.786;;Merit;18;95%;$35.299;;$0.6m;No;$32.000;Merit Scholarship;https://www.redlands.edu/admissions-and-aid/first-year/apply/international-apply/;All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.;$28.578;$50.786;Automatic consideration;81%;25%;16%;-;-;-;;76%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of Redlands;https://www.redlands.edu;Redlands;CA;California;Private;West Coast;Los Angeles, CA;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;1-Historically;;$60.578;$18.208;$82.786;24-25;Merit;18;95%;$35.299;;$0.6m;No;$32.000;Merit Scholarship;https://www.redlands.edu/admissions-and-aid/first-year/apply/international-apply/;All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.;$28.578;$50.786;Automatic consideration;81%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Rhode Island;;Kingston;RI;Rhode Island;Public;Northeast (New England);;Suburb: Large;10K - 20K;Coeducational;No;Balanced;High;On-campus;0-None;$35.000;$37.146;$15.210;$56.356;;Merit;130;100%;$21.015;$33.689;$2.7m;No;;;;;;TBD;Unclear;77,1%;72,8%;17%;8%;427;311;26;77%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of Rhode Island;https://www.uri.edu;Kingston;RI;Rhode Island;Public;Northeast (New England);;Suburb: Large;10K - 20K;Coeducational;No;Balanced;High;On-campus;0-None;$35.000;$37.146;$15.210;$56.356;24-25;Merit;130;100%;$21.015;$33.689;$2.7m;No;;;;;;TBD;Unclear;77,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Richmond;;Richmond;VA;Virginia;Private;Southeast;;City: Midsize;1K - 9K;Coeducational;No;Balanced;High;Off-campus;1-Historically;$20.000;$65.230;$17.140;$86.370;;Both;169;74%;$64.488;$18.322;$10.9m;Yes (Need-aware);Full ride;Richmond Scholarship;https://financialaid.richmond.edu/types-of-aid/merit-based/index.html;The premier scholarship program. Requires a separate application, and finalists are invited for an on-campus competition.;$0;$4.000;Requires application;23,3%;9,4%;24%;29%;3344;313;92;22,2%;;Both;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
University of Richmond;https://www.richmond.edu;Richmond;VA;Virginia;Private;Southeast;;City: Midsize;1K - 9K;Coeducational;No;Balanced;High;Off-campus;1-Historically;$20.000;$65.230;$17.140;$86.370;24-25;Both;169;74%;$64.488;$18.322;$10.9m;Yes (Need-aware);Full ride;Richmond Scholarship;https://financialaid.richmond.edu/types-of-aid/merit-based/index.html;The premier scholarship program. Requires a separate application, and finalists are invited for an on-campus competition.;$0;$4.000;Requires application;23,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
University of Rochester;;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$50.000;$67.124;$19.570;$90.694;;Both;468;31%;$40.994;$46.278;$19.2m;Yes (Need-aware);Full ride+stipend;Handler Scholarship;https://www.rochester.edu/financial-aid/scholarships/;A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.;$0;$3.000;Requires nomination;35,9%;12,0%;20%;41%;7831;942;383;35,6%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of Rochester;;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$50.000;$67.124;$19.570;$90.694;24-25;Both;468;31%;$40.994;$46.278;$19.2m;Yes (Need-aware);Full ride+stipend;Handler Scholarship;https://www.rochester.edu/financial-aid/scholarships/;A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.;$0;$3.000;Requires nominationation;35,9%;12,0%;20%;41%;7831;942;383;;;Early Decision only;Yes;39,2%;2027;1.1x;43%;;;;Optional;26%;10%;1470;710;790;690;750;31;33;34;30;35;32;35;32;35;31;35;CDS24;86%;90%;93%;8%;2%;11/1/2024;;;;1/5/2025;;;12/1/2024;November;Mid-December;1/5/2025;;early February;;December;;4/1/2025;23-24;44;133;45;224;44;126;72,7;;100;93,8;53;;224;56;40;351;37;;71;;;53;;;;Legal;Viability;6,1;0;31,4;;;;;;international_playlist
University of Rochester;;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$50.000;$67.124;$19.570;$90.694;;Both;468;31%;$40.994;$46.278;$19.2m;Yes (Need-aware);Full ride+stipend;Handler Scholarship;https://www.rochester.edu/financial-aid/scholarships/;A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.;$0;$3.000;Requires nomination;35,9%;12,0%;20%;41%;7831;942;383;;35,6%;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;global_top_238;;international_playlist
University of Rochester;https://www.rochester.edu;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$50.000;$67.124;$19.570;$90.694;24-25;Both;468;31%;$40.994;$46.278;$19.2m;Yes (Need-aware);Full ride+stipend;Handler Scholarship;https://www.rochester.edu/financial-aid/scholarships/;A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.;$0;$3.000;Requires nomination;35,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of San Diego;https://www.sandiego.edu;San Diego;CA;California;Private;West Coast;San Diego, CA;City: Large;5K - 10K;Coeducational;No;Balanced;Majority;On-campus;4-Moderately;$60.000;$59.486;$17.270;$80.756;24-25;Merit;50;14%;$18.918;$59.610;$0.9m;No;$28.000;Presidential Scholarship;https://www.sandiego.edu/one-stop/financial-aid/scholarships/university-scholarships.php;The premier Merit Scholarship. All applicants are automatically considered based on their admission application. No separate application is required.;$31.486;$52.756;Automatic consideration;46,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of San Francisco;;San Francisco;CA;California;Private;West Coast;SF/Silicon Valley;City: Large;5K - 10K;Coeducational;No;Balanced;Majority;On-campus;3-Somewhat;$55.000;$60.492;$19.764;$84.256;;Merit;350;65%;$26.300;$53.222;$9.2m;No;$29.000;University Scholarship;https://www.usfca.edu/financial-aid/scholarships;All first-year applicants, including international students, are automatically considered for merit-based scholarships upon admission.;$31.492;$55.256;Automatic consideration;50,8%;30,0%;9%;7%;4652;1397;101;42,4%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
University of San Francisco;https://www.usfca.edu;San Francisco;CA;California;Private;West Coast;SF/Silicon Valley;City: Large;5K - 10K;Coeducational;No;Balanced;Majority;On-campus;3-Somewhat;$55.000;$60.492;$19.764;$84.256;24-25;Merit;350;65%;$26.300;$53.222;$9.2m;No;$29.000;University Scholarship;https://www.usfca.edu/financial-aid/scholarships;All first-year applicants, including international students, are automatically considered for merit-based scholarships upon admission.;$31.492;$55.256;Automatic consideration;50,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
University of Science and Arts of Oklahoma;https://www.usao.edu;Chickasha;OK;Oklahoma;Public;South (Central);;Town: Distant;<1K;Coeducational;No;Balanced;Exclusively;On-campus;0-None;$15.000;$19.470;$10.940;$34.410;24-25;Merit;139;FLAG;$17.606;$14.450;;No;;;;;;;Unclear;56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
