Rank;School Name;Location;Tuition and Fees (Out-of-State / In-State);;;;;;;;;;;;;;;;;;;;;;
66 (tie);Gustavus Adolphus College;St. Peter, MN;$54,310;;;;;;;;;;;;;;;;;;;;;;
66 (tie);Principia College;Elsah, IL;$34,680;;;;;;;;;;;;;;;;;;;;;;
66 (tie);Wofford College;Spartanburg, SC;$56,005;;;;;;;;;;;;;;;;;;;;;;
69 (tie);Kalamazoo College;Kalamazoo, MI;$60,900;;;;;;;;;;;;;;;;;;;;;;
69 (tie);Lawrence University;Appleton, WI;$56,982;;;;;;;;;;;;;;;;;;;;;;
71 (tie);Bard College;Annandale on Hudson, NY;N/A;;;;;;;;;;;;;;;;;;;;;;
71 (tie);College of St. Benedict;St. Joseph, MN;$55,756;;;;;;;;;;;;;;;;;;;;;;
71 (tie);Muhlenberg College;Allentown, PA;$62,805;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Earlham College;Richmond, IN;$53,930;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Hobart and William Smith Colleges;Geneva, NY;$64,842;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Wheaton College (MA);Norton, MA;$63,960;;;;;;;;;;;;;;;;;;;;;;
77 (tie);The College of Wooster;Wooster, OH;$61,640;;;;;;;;;;;;;;;;;;;;;;
77 (tie);Lake Forest College;Lake Forest, IL;$56,402;;;;;;;;;;;;;;;;;;;;;;
77 (tie);Willamette University;Salem, OR;$51,156;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Allegheny College;Meadville, PA;$56,550;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Saint John's University;Collegeville, MN;$55,816;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Saint Mary's College;Notre Dame, IN;$53,230;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Austin College;Sherman, TX;$48,655;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Drew University;Madison, NJ;$47,100;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Knox College;Galesburg, IL;$57,903;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Southwestern University;Georgetown, TX;$53,613;;;;;;;;;;;;;;;;;;;;;;
83 (tie);St. John's College (MD);Annapolis, MD;$40,684;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Stonehill College;Easton, MA;$57,490;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Ursinus College;Collegeville, PA;$61,010;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Hope College;Holland, MI;$38,530;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Juniata College;Huntingdon, PA;$58,580;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Saint Anselm College;Manchester, NH;$48,920;;;;;;;;;;;;;;;;;;;;;;
90 (tie);St. Norbert College;De Pere, WI;$45,580;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Washington & Jefferson College;Washington, PA;$29,570;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Beloit College;Beloit, WI;$60,886;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Morehouse College;Atlanta, GA;$32,893;;;;;;;;;;;;;;;;;;;;;;
95 (tie);University of Puget Sound;Tacoma, WA;$62,898;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Washington College;Chestertown, MD;$55,326;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Whittier College;Whittier, CA;$51,350;;;;;;;;;;;;;;;;;;;;;;
100 (tie);Augustana College;Rock Island, IL;$51,598;;;;;;;;;;;;;;;;;;;;;;
100 (tie);Lycoming College;Williamsport, PA;$49,804;;;;;;;;;;;;;;;;;;;;;;
100 (tie);St. Mary's College of Maryland;St. Marys City, MD;$31,312 / $15,236;;;;;;;;;;;;;;;;;;;;;;
National Liberal Arts Colleges Rankings;;;;;;;;;;;;;;;;;;;;;;;;;
Schools in the National Liberal Arts Colleges category, such as Stonehill College and Bates College, emphasize undergraduate education and award at least half of their degrees in the liberal arts fields of study.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
